Process;Process_id;Level;extended_Description;brief_description;Domain;Vertical_Group;Original_id;M_Level;Framework Status
Create Product Order Shipment Advice;1.2.27.2.5.1.1;6;"Create Product Order Shipment Advice business activity is responsible for creating the alert given by the prodict ordr shipper to the product order consignee before arrival of theproduct order.

Create Product Order Shipment Advice helps consignees to track product orders.";Create Product Order Shipment Advice business activity is responsible for creating the alert given by the prodict ordr shipper to the product order consignee before arrival of theproduct order.;;;;4;Released
Schedule Product Order Shipment;1.2.27.2.5.1.2;6;"Schedule Product Order Shipment business activity is responsible for supporting the product order delivery by providing schedule 

Schedile Product Order Shipment helps to plan out shipments and deliveries in advance based on the organizations supply chain and customer demand.";Schedule Product Order Shipment business activity is responsible for supporting the product order delivery by providing schedule;;;;4;Released
Authorize Product Order Return;1.2.27.2.5.2;5;"Authorize Product Order Return business activity is responsible for permitting a product order reverse order to be processed.  

Authorize Product Order Return ensures that product order returns are acceptable and valid according to product ordering rules.";Authorize Product Order Return business activity is responsible for permitting a product order reverse order to be processed.;;;;4;Released
Receive Returned Product Order;1.2.27.2.5.3;5;"Receive Returned Product Order business activity is responsible for accepting and processing the product order return.   

Receive Returned Product Order ensures that product order returns are compliant with product order return policies.";Receive Returned Product Order business activity is responsible for accepting and processing the product order return.;;;;4;Released
Close Product Order Return;1.2.27.2.5.4;5;"Close Product Order Return business activity is responsible for ensuring communication and confirmation of product order returns with conginees. 

Close Product Order Return ensures that all activities to ensure the closure of product order return are completed successfully.";Close Product Order Return business activity is responsible for ensuring communication and confirmation of product order returns with conginees.;;;;4;Released
Track Product Order Fulfilment;1.2.27.2.6;4;"Track Product Order Fulfilment business activity records all the product order fulfilment processing status.

Track Product Order Fulfilment supports detecting early evidence of ""something going wrong"" or not according to business rules and polcies for a product order accepted for fulfilment. It supports escalation of product order fulfilment challenges and remediation.";Track Product Order Fulfilment business activity records all the product order fulfilment processing status.;;;;4;Released
Close Product Order Fulfilment;1.2.27.2.7;4;"Close Product Order Fulfilment business activity finalizes a product order fulfillment to be complete. 

Close Product Order Fulfilment supports successful product order delivery can take place to essure the business can meet the obligations for product order management.";Close Product Order Fulfilment business activity finalizes a product order fulfillment to be complete.;;;;4;Released
Manage Product Order Delivery;1.2.27.3;3;"Manage Product Order Delivery business activity directs and controls the activities to validate products in the product order. 

Manage Product Order Delivery business activity ensures product can be successfuly be supplied to consignee of the product order to enable complete the product order process.";Manage Product Order Delivery business activity directs and controls the activities to validate products in the product order.;;;;4;Released
Validate Product Order Delivery Requirement;1.2.27.3.1;4;"Validate Product Order Delivery Requirement business activity proves validity of the delivery requirements in the product order. 

Validate Product Order Delivery Requirement checks to ensure that a given product order has delivery requirement that conform to consignee expectations in the product order.";Validate Product Order Delivery Requirement business activity proves validity of the delivery requirements in the product order.;;;;4;Released
Deliver Product Order;1.2.27.3.2;4;"Deliver Product Order business activity is responsible for the actual delivery activity of the product order fulfilled by the business to the consignee. It includes ensuring the product order can be activated/is actiated, tracking the product order delivery and notifying product order delivery. 

Deliver Product Order ensures that the chosen channel and delivery plan based on business rules and/or requirement of the consignee are followed in the actual delivery to the consignee.";Deliver Product Order business activity is responsible for the actual delivery activity of the product order fulfilled by the business to the consignee. It includes ensuring the product order can be activated/is actiated, tracking the product order delivery and notifying product order delivery.;;;;4;Released
Activate Product Order Items;1.2.27.3.2.1;5;"Activate Product Order Item business activity is responsible for making a product order item active. 

Activate Product Order is available when an order is either ready to be shipped or provisioned. This business activity may require the consignee to initiate the request for activation through a request/response interaction, or by getting the product provisiion at the time of shipping.";Activate Product Order Item business activity is responsible for making a product order item active.;;;;4;Released
