ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
;;mgmtInfoValidFor;This attribute defines the time period that this management information is valid for. A TimePeriod is a complex datatype, that has a starting time and an ending time.;;;;
;;retrievalMethodCurrent;"This is an enumerated integer that defines the particular type of method that is currently being used to retrieve the management information. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;retrievalMethodsSupported;"This is an array of integers that define the different means of retrieving management methods that are supported by this object. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Management Information ABE.Resource Statistical ABE;;;;;;;
;ResourceStatisticalInfo;;"ResourceStatisticalInfo is an abstract base class for representing different types of statistical information that describes the state of a particular Resource or set of Resources (or a particular Service or set of Services). Subclasses of this class represent domain-specific information, including:

- specific LogicalResource statistics, such as those for a

DeviceInterface (e.g., number of packets dropped)

- specific PhysicalResource statistics, such as a fiber cut";;;;
;;mgmtInfoValidFor;This attribute defines the time period that this management information is valid for. A TimePeriod is a complex datatype, that has a starting time and an ending time.;;;;
;;retrievalMethodCurrent;"This is an enumerated integer that defines the particular type of method that is currently being used to retrieve the management information. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;retrievalMethodsSupported;"This is an array of integers that define the different means of retrieving management methods that are supported by this object. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Management Information ABE.Security ABE;;;;;;;
;AuditingEntity;;;;;;
;;mgmtInfoValidFor;This attribute defines the time period that this management information is valid for. A TimePeriod is a complex datatype, that has a starting time and an ending time.;;;;
